refuge,predator,prey density,alive,eaten,R
hi,Gdc,1,1,0,0
hi,Gdc,1,1,0,0
hi,Gdc,1,1,0,0
hi,Gdc,1,1,0,0
hi,Gdc,2,0,2,2.31481481481481E-05
hi,Gdc,2,2,0,0
hi,Gdc,2,2,0,0
hi,Gdc,2,2,0,0
hi,Gdc,3,3,0,0
hi,Gdc,3,3,0,0
hi,Gdc,3,3,0,0
hi,Gdc,3,3,0,0
hi,Gdc,4,4,0,0
hi,Gdc,4,4,0,0
hi,Gdc,4,0,4,4.62962962962963E-05
hi,Gdc,4,3,1,1.15740740740741E-05
hi,Gdc,5,4,1,1.15740740740741E-05
hi,Gdc,5,3,2,2.31481481481481E-05
hi,Gdc,5,3,2,2.31481481481481E-05
hi,Gdc,5,5,0,0
hi,Gdc,6,2,4,4.62962962962963E-05
hi,Gdc,6,5,1,1.15740740740741E-05
hi,Gdc,6,4,2,2.31481481481481E-05
hi,Gdc,6,6,0,0
hi,Gdc,7,7,0,0
hi,Gdc,7,5,2,2.31481481481481E-05
hi,Gdc,7,4,3,3.47222222222222E-05
hi,Gdc,7,2,5,5.78703703703704E-05
hi,Gdc,8,5,3,3.47222222222222E-05
hi,Gdc,8,4,4,4.62962962962963E-05
hi,Gdc,8,2,6,6.94444444444444E-05
hi,Gdc,8,4,4,4.62962962962963E-05
hi,Gdc,15,6,9,0.000104166666667
hi,Gdc,15,14,1,1.15740740740741E-05
hi,Gdc,15,10,5,5.78703703703704E-05
hi,Gdc,15,9,6,6.94444444444444E-05
hi,Gdc,25,24,1,1.15740740740741E-05
hi,Gdc,25,18,7,8.10185185185185E-05
hi,Gdc,25,20,5,5.78703703703704E-05
hi,Gdc,25,19,6,6.94444444444444E-05
hi,Gdc,40,31,9,0.000104166666667
hi,Gdc,40,33,7,8.10185185185185E-05
hi,Gdc,40,33,7,8.10185185185185E-05
hi,Gdc,40,36,4,4.62962962962963E-05
mid ,Gdc,1,1,0,0
mid ,Gdc,1,0,1,1.15740740740741E-05
mid ,Gdc,1,1,0,0
mid ,Gdc,1,1,0,0
mid,Gdc,2,0,2,2.31481481481481E-05
mid,Gdc,2,1,1,1.15740740740741E-05
mid,Gdc,2,1,1,1.15740740740741E-05
mid ,Gdc,2,1,1,1.15740740740741E-05
mid ,Gdc,3,2,1,1.15740740740741E-05
mid ,Gdc,3,2,1,1.15740740740741E-05
mid ,Gdc,3,3,0,0
mid ,Gdc,3,3,0,0
mid,Gdc,4,3,1,1.15740740740741E-05
mid,Gdc,4,2,2,2.31481481481481E-05
mid,Gdc,4,3,1,1.15740740740741E-05
mid ,Gdc,4,1,3,3.47222222222222E-05
mid,Gdc,5,5,0,0
mid,Gdc,5,3,2,2.31481481481481E-05
mid,Gdc,5,5,0,0
mid ,Gdc,5,4,1,1.15740740740741E-05
mid,Gdc,6,3,3,3.47222222222222E-05
mid,Gdc,6,1,5,5.78703703703704E-05
mid,Gdc,6,5,1,1.15740740740741E-05
mid ,Gdc,6,1,5,5.78703703703704E-05
mid,Gdc,7,5,2,2.31481481481481E-05
mid,Gdc,7,7,0,0
mid,Gdc,7,7,0,0
mid ,Gdc,7,7,0,0
mid,Gdc,8,5,3,3.47222222222222E-05
mid,Gdc,8,0,8,9.25925925925926E-05
mid,Gdc,8,2,6,6.94444444444444E-05
mid ,Gdc,8,6,2,2.31481481481481E-05
mid,Gdc,15,9,6,6.94444444444444E-05
mid,Gdc,15,8,7,8.10185185185185E-05
mid,Gdc,15,9,6,6.94444444444444E-05
mid ,Gdc,15,13,2,2.31481481481481E-05
mid,Gdc,25,19,6,6.94444444444444E-05
mid,Gdc,25,12,13,0.000150462962963
mid,Gdc,25,15,10,0.000115740740741
mid ,Gdc,25,18,7,8.10185185185185E-05
mid,Gdc,40,26,14,0.000162037037037
mid,Gdc,40,32,8,9.25925925925926E-05
mid,Gdc,40,29,11,0.000127314814815
mid ,Gdc,40,36,4,4.62962962962963E-05
lo,Gdc,1,0,1,1.15740740740741E-05
lo,Gdc,1,0,1,1.15740740740741E-05
lo,Gdc,1,0,1,1.15740740740741E-05
lo,Gdc,1,0,1,1.15740740740741E-05
lo,Gdc,2,0,2,2.31481481481481E-05
lo,Gdc,2,0,2,2.31481481481481E-05
lo,Gdc,2,0,2,2.31481481481481E-05
lo,Gdc,2,0,2,2.31481481481481E-05
lo,Gdc,3,0,3,3.47222222222222E-05
lo,Gdc,3,0,3,3.47222222222222E-05
lo,Gdc,3,0,3,3.47222222222222E-05
lo,Gdc,3,0,3,3.47222222222222E-05
lo,Gdc,4,2,2,2.31481481481481E-05
lo,Gdc,4,1,3,3.47222222222222E-05
lo,Gdc,4,2,2,2.31481481481481E-05
lo,Gdc,4,1,3,3.47222222222222E-05
lo,Gdc,5,1,4,4.62962962962963E-05
lo,Gdc,5,1,4,4.62962962962963E-05
lo,Gdc,5,0,5,5.78703703703704E-05
lo,Gdc,5,2,3,3.47222222222222E-05
lo,Gdc,6,0,6,6.94444444444444E-05
lo,Gdc,6,1,5,5.78703703703704E-05
lo,Gdc,6,2,4,4.62962962962963E-05
lo,Gdc,6,5,1,1.15740740740741E-05
lo,Gdc,7,2,5,5.78703703703704E-05
lo,Gdc,7,2,5,5.78703703703704E-05
lo,Gdc,7,0,7,8.10185185185185E-05
lo,Gdc,7,2,5,5.78703703703704E-05
lo,Gdc,8,1,7,8.10185185185185E-05
lo,Gdc,8,2,6,6.94444444444444E-05
lo,Gdc,8,3,5,5.78703703703704E-05
lo,Gdc,8,1,7,8.10185185185185E-05
lo,Gdc,15,5,10,0.000115740740741
lo,Gdc,15,1,14,0.000162037037037
lo,Gdc,15,7,8,9.25925925925926E-05
lo,Gdc,15,6,9,0.000104166666667
lo,Gdc,25,18,7,8.10185185185185E-05
lo,Gdc,25,18,7,8.10185185185185E-05
lo,Gdc,25,19,6,6.94444444444444E-05
lo,Gdc,25,16,9,0.000104166666667
lo,Gdc,40,28,12,0.000138888888889
lo,Gdc,40,23,17,0.000196759259259
lo,Gdc,40,30,10,0.000115740740741
lo,Gdc,40,27,13,0.000150462962963
hi,Gp,1,1,0,0
hi,Gp,1,1,0,0
hi,Gp,1,1,0,0
hi,Gp,1,1,0,0
hi,Gp,2,0,2,2.31481481481481E-05
hi,Gp,2,1,1,1.15740740740741E-05
hi,Gp,2,2,0,0
hi,Gp,2,2,0,0
hi,Gp,3,3,0,0
hi,Gp,3,3,0,0
hi,Gp,3,2,1,1.15740740740741E-05
hi,Gp,3,3,0,0
hi,Gp,4,2,2,2.31481481481481E-05
hi,Gp,4,3,1,1.15740740740741E-05
hi,Gp,4,0,4,4.62962962962963E-05
hi,Gp,4,4,0,0
hi,Gp,5,3,2,2.31481481481481E-05
hi,Gp,5,3,2,2.31481481481481E-05
hi,Gp,5,3,2,2.31481481481481E-05
hi,Gp,5,4,1,1.15740740740741E-05
hi,Gp,6,2,4,4.62962962962963E-05
hi,Gp,6,2,4,4.62962962962963E-05
hi,Gp,6,3,3,3.47222222222222E-05
hi,Gp,6,6,0,0
hi,Gp,7,2,5,5.78703703703704E-05
hi,Gp,7,3,4,4.62962962962963E-05
hi,Gp,7,4,3,3.47222222222222E-05
hi,Gp,7,1,6,6.94444444444444E-05
hi,Gp,8,3,5,5.78703703703704E-05
hi,Gp,8,3,5,5.78703703703704E-05
hi,Gp,8,2,6,6.94444444444444E-05
hi,Gp,8,6,2,2.31481481481481E-05
hi,Gp,15,8,7,8.10185185185185E-05
hi,Gp,15,12,3,3.47222222222222E-05
hi,Gp,15,11,4,4.62962962962963E-05
hi,Gp,15,8,7,8.10185185185185E-05
hi,Gp,25,18,7,8.10185185185185E-05
hi,Gp,25,16,9,0.000104166666667
hi,Gp,25,22,3,3.47222222222222E-05
hi,Gp,25,18,7,8.10185185185185E-05
hi,Gp,40,30,10,0.000115740740741
hi,Gp,40,35,5,5.78703703703704E-05
hi,Gp,40,34,6,6.94444444444444E-05
hi,Gp,40,31,9,0.000104166666667
mid ,Gp,1,0,1,1.15740740740741E-05
mid ,Gp,1,0,1,1.15740740740741E-05
mid ,Gp,1,0,1,1.15740740740741E-05
mid ,Gp,1,1,0,0
mid,Gp,2,0,2,2.31481481481481E-05
mid,Gp,2,1,1,1.15740740740741E-05
mid,Gp,2,2,0,0
mid ,Gp,2,2,0,0
mid ,Gp,3,3,0,0
mid ,Gp,3,2,1,1.15740740740741E-05
mid ,Gp,3,2,1,1.15740740740741E-05
mid ,Gp,3,2,1,1.15740740740741E-05
mid,Gp,4,1,3,3.47222222222222E-05
mid,Gp,4,4,0,0
mid,Gp,4,3,1,1.15740740740741E-05
mid ,Gp,4,3,1,1.15740740740741E-05
mid,Gp,5,3,2,2.31481481481481E-05
mid,Gp,5,4,1,1.15740740740741E-05
mid,Gp,5,5,0,0
mid ,Gp,5,4,1,1.15740740740741E-05
mid,Gp,5,2,4,4.62962962962963E-05
mid,Gp,6,2,4,4.62962962962963E-05
mid,Gp,6,3,3,3.47222222222222E-05
mid ,Gp,6,5,1,1.15740740740741E-05
mid,Gp,7,4,3,3.47222222222222E-05
mid,Gp,7,5,2,2.31481481481481E-05
mid,Gp,7,3,4,4.62962962962963E-05
mid ,Gp,7,3,4,4.62962962962963E-05
mid,Gp,8,1,7,8.10185185185185E-05
mid,Gp,8,3,5,5.78703703703704E-05
mid,Gp,8,6,2,2.31481481481481E-05
mid ,Gp,8,2,6,6.94444444444444E-05
mid,Gp,15,12,3,3.47222222222222E-05
mid,Gp,15,9,6,6.94444444444444E-05
mid,Gp,15,9,6,6.94444444444444E-05
mid ,Gp,15,8,7,8.10185185185185E-05
mid,Gp,25,23,2,2.31481481481481E-05
mid,Gp,25,23,2,2.31481481481481E-05
mid,Gp,25,12,13,0.000150462962963
mid ,Gp,25,15,10,0.000115740740741
mid,Gp,40,27,13,0.000150462962963
mid,Gp,40,28,12,0.000138888888889
mid,Gp,40,37,3,3.47222222222222E-05
mid ,Gp,40,30,10,0.000115740740741
lo,Gp,1,0,1,1.15740740740741E-05
lo,Gp,1,0,1,1.15740740740741E-05
lo,Gp,1,0,1,1.15740740740741E-05
lo,Gp,1,0,1,1.15740740740741E-05
lo,Gp,2,0,2,2.31481481481481E-05
lo,Gp,2,0,2,2.31481481481481E-05
lo,Gp,2,1,1,1.15740740740741E-05
lo,Gp,2,1,1,1.15740740740741E-05
lo,Gp,3,0,3,3.47222222222222E-05
lo,Gp,3,0,3,3.47222222222222E-05
lo,Gp,3,0,3,3.47222222222222E-05
lo,Gp,3,1,2,2.31481481481481E-05
lo,Gp,4,1,3,3.47222222222222E-05
lo,Gp,4,0,4,4.62962962962963E-05
lo,Gp,4,0,4,4.62962962962963E-05
lo,Gp,4,1,3,3.47222222222222E-05
lo,Gp,5,0,5,5.78703703703704E-05
lo,Gp,5,0,5,5.78703703703704E-05
lo,Gp,5,1,4,4.62962962962963E-05
lo,Gp,5,1,4,4.62962962962963E-05
lo,Gp,6,2,4,4.62962962962963E-05
lo,Gp,6,1,5,5.78703703703704E-05
lo,Gp,6,4,2,2.31481481481481E-05
lo,Gp,6,0,6,6.94444444444444E-05
lo,Gp,7,2,5,5.78703703703704E-05
lo,Gp,7,3,4,4.62962962962963E-05
lo,Gp,7,4,3,3.47222222222222E-05
lo,Gp,7,1,6,6.94444444444444E-05
lo,Gp,8,4,4,4.62962962962963E-05
lo,Gp,8,0,8,9.25925925925926E-05
lo,Gp,8,1,7,8.10185185185185E-05
lo,Gp,8,0,8,9.25925925925926E-05
lo,Gp,15,5,10,0.000115740740741
lo,Gp,15,9,6,6.94444444444444E-05
lo,Gp,15,10,5,5.78703703703704E-05
lo,Gp,15,8,7,8.10185185185185E-05
lo,Gp,25,20,5,5.78703703703704E-05
lo,Gp,25,16,9,0.000104166666667
lo,Gp,25,11,14,0.000162037037037
lo,Gp,25,10,15,0.000173611111111
lo,Gp,40,26,14,0.000162037037037
lo,Gp,40,28,12,0.000138888888889
lo,Gp,40,31,9,0.000104166666667
lo,Gp,40,27,13,0.000150462962963
