Code,Prey species,Month ,Year,Replicate,Temperature,Density,Mean lost control prey,Prey consumed ,R
13-R1-D2Apat,Apatemon,October,2018,1,13,2,0,0,0
13-R1-D4Apat,Apatemon,October,2018,1,13,4,1,0,0
13-R1-D6Apat,Apatemon,October,2017,1,13,6,1,2,0.001111111111111
13-R1-D10Apat,Apatemon,October,2018,1,13,10,1,1,0.000555555555556
13-R1-D20Apat,Apatemon,October,2018,1,13,20,3,2,0.001111111111111
13-R1-D50Apat,Apatemon,October,2017,1,13,50,5,6,0.003333333333333
13-R1-D70Apat,Apatemon,October,2018,1,13,70,3,7,0.003888888888889
13-R1-D100Apat,Apatemon,October,2017,1,13,100,13,31,0.017222222222222
13-R2-D2Apat,Apatemon,October,2017,2,13,2,0,0,0
13-R2-D4Apat,Apatemon,October,2017,2,13,4,1,2,0.001111111111111
13-R2-D6Apat,Apatemon,October,2017,2,13,6,1,2,0.001111111111111
13-R2-D10Apat,Apatemon,October,2017,2,13,10,1,4,0.002222222222222
13-R2-D20Apat,Apatemon,October,2017,2,13,20,3,4,0.002222222222222
13-R2-D50Apat,Apatemon,October,2017,2,13,50,5,23,0.012777777777778
13-R2-D70Apat,Apatemon,October,2018,2,13,70,3,19,0.010555555555556
13-R2-D100Apat,Apatemon,October,2018,2,13,100,13,14,0.007777777777778
13-R3-D2Apat,Apatemon,October,2017,3,13,2,0,0,0
13-R3-D4Apat,Apatemon,October,2018,3,13,4,1,0,0
13-R3-D6Apat,Apatemon,October,2018,3,13,6,1,0,0
13-R3-D10Apat,Apatemon,October,2017,3,13,10,1,4,0.002222222222222
13-R3-D20Apat,Apatemon,October,2017,3,13,20,3,5,0.002777777777778
13-R3-D50Apat,Apatemon,October,2018,3,13,50,5,7,0.003888888888889
13-R3-D70Apat,Apatemon,October,2018,3,13,70,3,12,0.006666666666667
13-R3-D100Apat,Apatemon,October,2017,3,13,100,13,30,0.016666666666667
13-R4-D2Apat,Apatemon,October,2017,4,13,2,0,0,0
13-R4-D4Apat,Apatemon,October,2018,4,13,4,1,2,0.001111111111111
13-R4-D6Apat,Apatemon,October,2017,4,13,6,1,0,0
13-R4-D10Apat,Apatemon,October,2017,4,13,10,1,0,0
13-R4-D20Apat,Apatemon,October,2018,4,13,20,3,1,0.000555555555556
13-R4-D50Apat,Apatemon,October,2017,4,13,50,5,2,0.001111111111111
13-R4-D70Apat,Apatemon,October,2018,4,13,70,3,12,0.006666666666667
13-R4-D100Apat,Apatemon,October,2017,4,13,100,13,0,0
13-R5-D2Apat,Apatemon,October,2018,5,13,2,0,0,0
13-R5-D4Apat,Apatemon,October,2018,5,13,4,1,0,0
13-R5-D6Apat,Apatemon,October,2018,5,13,6,1,1,0.000555555555556
13-R5-D10Apat,Apatemon,October,2018,5,13,10,1,2,0.001111111111111
13-R5-D20Apat,Apatemon,October,2018,5,13,20,3,0,0
13-R5-D50Apat,Apatemon,October,2018,5,13,50,5,20,0.011111111111111
13-R5-D70Apat,Apatemon,October,2018,5,13,70,3,12,0.006666666666667
13-R5-D100Apat,Apatemon,October,2018,5,13,100,13,1,0.000555555555556
13-R6-D2Apat,Apatemon,October,2018,6,13,2,0,0,0
13-R6-D4Apat,Apatemon,October,2018,6,13,4,1,3,0.001666666666667
13-R6-D6Apat,Apatemon,October,2018,6,13,6,1,2,0.001111111111111
13-R6-D10Apat,Apatemon,October,2018,6,13,10,1,2,0.001111111111111
13-R6-D20Apat,Apatemon,October,2018,6,13,20,3,3,0.001666666666667
13-R6-D50Apat,Apatemon,October,2018,6,13,50,5,14,0.007777777777778
13-R6-D70Apat,Apatemon,October,2018,6,13,70,3,8,0.004444444444444
13-R6-D100Apat,Apatemon,October,2018,6,13,100,13,11,0.006111111111111
6-R1-D2Apat,Apatemon,October,2018,1,6,2,0,1,0.000555555555556
6-R1-D4Apat,Apatemon,October,2018,1,6,4,1,0,0
6-R1-D6Apat,Apatemon,October,2018,1,6,6,1,3,0.001666666666667
6-R1-D10Apat,Apatemon,October,2018,1,6,10,1,3,0.001666666666667
6-R1-D20Apat,Apatemon,October,2018,1,6,20,3,0,0
6-R1-D50Apat,Apatemon,October,2018,1,6,50,5,8,0.004444444444444
6-R1-D70Apat,Apatemon,October,2018,1,6,70,3,2,0.001111111111111
6-R1-D100Apat,Apatemon,October,2018,1,6,100,13,41,0.022777777777778
6-R2-D2Apat,Apatemon,October,2018,2,6,2,0,0,0
6-R2-D4Apat,Apatemon,October,2018,2,6,4,1,2,0.001111111111111
6-R2-D6Apat,Apatemon,October,2018,2,6,6,1,2,0.001111111111111
6-R2-D10Apat,Apatemon,October,2018,2,6,10,1,2,0.001111111111111
6-R2-D20Apat,Apatemon,October,2018,2,6,20,3,6,0.003333333333333
6-R2-D50Apat,Apatemon,October,2018,2,6,50,5,18,0.01
6-R2-D70Apat,Apatemon,October,2018,2,6,70,3,11,0.006111111111111
6-R2-D100Apat,Apatemon,October,2018,2,6,100,13,43,0.023888888888889
6-R3-D2Apat,Apatemon,October,2018,3,6,2,0,1,0.000555555555556
6-R3-D4Apat,Apatemon,October,2018,3,6,4,1,0,0
6-R3-D6Apat,Apatemon,October,2018,3,6,6,1,2,0.001111111111111
6-R3-D10Apat,Apatemon,October,2018,3,6,10,1,3,0.001666666666667
6-R3-D20Apat,Apatemon,October,2018,3,6,20,3,2,0.001111111111111
6-R3-D50Apat,Apatemon,October,2018,3,6,50,5,1,0.000555555555556
6-R3-D70Apat,Apatemon,October,2018,3,6,70,3,18,0.01
6-R3-D100Apat,Apatemon,October,2018,3,6,100,13,17,0.009444444444444
6-R4-D2Apat,Apatemon,October,2018,4,6,2,0,0,0
6-R4-D4Apat,Apatemon,October,2018,4,6,4,1,0,0
6-R4-D6Apat,Apatemon,October,2018,4,6,6,1,0,0
6-R4-D10Apat,Apatemon,October,2018,4,6,10,1,1,0.000555555555556
6-R4-D20Apat,Apatemon,October,2018,4,6,20,3,1,0.000555555555556
6-R4-D50Apat,Apatemon,October,2018,4,6,50,5,9,0.005
6-R4-D70Apat,Apatemon,October,2018,4,6,70,3,1,0.000555555555556
6-R4-D100Apat,Apatemon,October,2018,4,6,100,13,0,0
6-R5-D2Apat,Apatemon,October,2018,5,6,2,0,1,0.000555555555556
6-R5-D4Apat,Apatemon,October,2018,5,6,4,1,0,0
6-R5-D6Apat,Apatemon,October,2018,5,6,6,1,1,0.000555555555556
6-R5-D10Apat,Apatemon,October,2018,5,6,10,1,3,0.001666666666667
6-R5-D20Apat,Apatemon,October,2018,5,6,20,3,0,0
6-R5-D50Apat,Apatemon,October,2018,5,6,50,5,6,0.003333333333333
6-R5-D70Apat,Apatemon,October,2018,5,6,70,3,14,0.007777777777778
6-R5-D100Apat,Apatemon,October,2018,5,6,100,13,27,0.015
6-R6-D2Apat,Apatemon,October,2018,6,6,2,0,1,0.000555555555556
6-R6-D4Apat,Apatemon,October,2018,6,6,4,1,2,0.001111111111111
6-R6-D6Apat,Apatemon,October,2018,6,6,6,1,3,0.001666666666667
6-R6-D10Apat,Apatemon,October,2018,6,6,10,1,4,0.002222222222222
6-R6-D20Apat,Apatemon,October,2018,6,6,20,3,6,0.003333333333333
6-R6-D50Apat,Apatemon,October,2018,6,6,50,5,12,0.006666666666667
6-R6-D70Apat,Apatemon,October,2018,6,6,70,3,21,0.011666666666667
6-R6-D100Apat,Apatemon,October,2018,6,6,100,13,0,0
6-R1-D2Diplo,Diplostomum,August,2018,1,6,2,0,2,0.001111111111111
6-R1-D4Diplo,Diplostomum,August,2018,1,6,4,1,1,0.000555555555556
6-R1-D6Diplo,Diplostomum,August,2018,1,6,6,1,0,0
6-R1-D10Diplo,Diplostomum,August,2018,1,6,10,1,0,0
6-R1-D20Diplo,Diplostomum,August,2018,1,6,20,5,6,0.003333333333333
6-R1-D50Diplo,Diplostomum,August,2018,1,6,50,10,13,0.007222222222222
6-R1-D70Diplo,Diplostomum,August,2018,1,6,70,14,5,0.002777777777778
6-R1-D100Diplo,Diplostomum,August,2018,1,6,100,21,9,0.005
6-R2-D2Diplo,Diplostomum,August,2018,2,6,2,0,1,0.000555555555556
6-R2-D4Diplo,Diplostomum,August,2018,2,6,4,1,0,0
6-R2-D6Diplo,Diplostomum,August,2018,2,6,6,1,0,0
6-R2-D10Diplo,Diplostomum,August,2018,2,6,10,1,0,0
6-R2-D20Diplo,Diplostomum,August,2018,2,6,20,5,7,0.003888888888889
6-R2-D50Diplo,Diplostomum,August,2018,2,6,50,10,10,0.005555555555556
6-R2-D70Diplo,Diplostomum,August,2018,2,6,70,14,15,0.008333333333333
6-R2-D100Diplo,Diplostomum,August,2018,2,6,100,21,6,0.003333333333333
6-R3-D2Diplo,Diplostomum,August,2018,3,6,2,0,0,0
6-R3-D4Diplo,Diplostomum,August,2018,3,6,4,1,0,0
6-R3-D6Diplo,Diplostomum,August,2018,3,6,6,1,0,0
6-R3-D10Diplo,Diplostomum,August,2018,3,6,10,1,0,0
6-R3-D20Diplo,Diplostomum,August,2018,3,6,20,5,5,0.002777777777778
6-R3-D50Diplo,Diplostomum,August,2018,3,6,50,10,4,0.002222222222222
6-R3-D70Diplo,Diplostomum,August,2018,3,6,70,14,2,0.001111111111111
6-R3-D100Diplo,Diplostomum,August,2018,3,6,100,21,7,0.003888888888889
6-R4-D2Diplo,Diplostomum,August,2018,4,6,2,0,1,0.000555555555556
6-R4-D4Diplo,Diplostomum,August,2018,4,6,4,1,0,0
6-R4-D6Diplo,Diplostomum,August,2018,4,6,6,1,2,0.001111111111111
6-R4-D10Diplo,Diplostomum,August,2018,4,6,10,1,1,0.000555555555556
6-R4-D20Diplo,Diplostomum,August,2018,4,6,20,5,0,0
6-R4-D50Diplo,Diplostomum,August,2018,4,6,50,10,3,0.001666666666667
6-R4-D70Diplo,Diplostomum,August,2018,4,6,70,14,2,0.001111111111111
6-R4-D100Diplo,Diplostomum,August,2018,4,6,100,21,12,0.006666666666667
6-R5-D2Diplo,Diplostomum,October,2018,5,6,2,0,1,0.000555555555556
6-R5-D4Diplo,Diplostomum,October,2018,5,6,4,1,1,0.000555555555556
6-R5-D6Diplo,Diplostomum,October,2018,5,6,6,1,2,0.001111111111111
6-R5-D10Diplo,Diplostomum,October,2018,5,6,10,1,3,0.001666666666667
6-R5-D20Diplo,Diplostomum,October,2018,5,6,20,5,1,0.000555555555556
6-R5-D50Diplo,Diplostomum,October,2018,5,6,50,10,10,0.005555555555556
6-R5-D70Diplo,Diplostomum,October,2018,5,6,70,14,9,0.005
6-R5-D100Diplo,Diplostomum,October,2018,5,6,100,21,0,0
6-R6-D2Diplo,Diplostomum,October,2018,6,6,2,0,0,0
6-R6-D4Diplo,Diplostomum,October,2018,6,6,4,1,0,0
6-R6-D6Diplo,Diplostomum,October,2018,6,6,6,1,0,0
6-R6-D10Diplo,Diplostomum,October,2018,6,6,10,1,1,0.000555555555556
6-R6-D20Diplo,Diplostomum,October,2018,6,6,20,5,0,0
6-R6-D50Diplo,Diplostomum,October,2018,6,6,50,10,0,0
6-R6-D70Diplo,Diplostomum,October,2018,6,6,70,14,3,0.001666666666667
6-R6-D100Diplo,Diplostomum,October,2018,6,6,100,21,7,0.003888888888889
13-R1-D2Diplo,Diplostomum,August,2017,1,13,2,0,0,0
13-R1-D4Diplo,Diplostomum,August,2017,1,13,4,1,0,0
13-R1-D6Diplo,Diplostomum,August,2017,1,13,6,1,0,0
13-R1-D10Diplo,Diplostomum,August,2017,1,13,10,1,3,0.001666666666667
13-R1-D20Diplo,Diplostomum,August,2017,1,13,20,5,0,0
13-R1-D50Diplo,Diplostomum,August,2017,1,13,50,10,0,0
13-R1-D70Diplo,Diplostomum,August,2017,1,13,70,14,0,0
13-R1-D100Diplo,Diplostomum,August,2017,1,13,100,21,2,0.001111111111111
13-R2-D2Diplo,Diplostomum,August,2017,2,13,2,0,2,0.001111111111111
13-R2-D4Diplo,Diplostomum,August,2017,2,13,4,1,1,0.000555555555556
13-R2-D6Diplo,Diplostomum,August,2017,2,13,6,1,3,0.001666666666667
13-R2-D10Diplo,Diplostomum,August,2017,2,13,10,1,9,0.005
13-R2-D20Diplo,Diplostomum,August,2017,2,13,20,5,4,0.002222222222222
13-R2-D50Diplo,Diplostomum,August,2017,2,13,50,10,15,0.008333333333333
13-R2-D70Diplo,Diplostomum,August,2018,2,13,70,14,7,0.003888888888889
13-R2-D100Diplo,Diplostomum,August,2017,2,13,100,21,17,0.009444444444444
13-R3-D2Diplo,Diplostomum,August,2017,3,13,2,0,0,0
13-R3-D4Diplo,Diplostomum,August,2017,3,13,4,1,3,0.001666666666667
13-R3-D6Diplo,Diplostomum,August,2017,3,13,6,1,0,0
13-R3-D10Diplo,Diplostomum,August,2017,3,13,10,1,2,0.001111111111111
13-R3-D20Diplo,Diplostomum,August,2017,3,13,20,5,0,0
13-R3-D50Diplo,Diplostomum,August,2018,3,13,50,10,14,0.007777777777778
13-R3-D70Diplo,Diplostomum,August,2017,3,13,70,14,0,0
13-R3-D100Diplo,Diplostomum,August,2017,3,13,100,21,1,0.000555555555556
13-R4-D2Diplo,Diplostomum,August,2017,4,13,2,0,0,0
13-R4-D4Diplo,Diplostomum,August,2017,4,13,4,1,1,0.000555555555556
13-R4-D6Diplo,Diplostomum,August,2017,4,13,6,1,3,0.001666666666667
13-R4-D10Diplo,Diplostomum,August,2018,4,13,10,1,0,0
13-R4-D20Diplo,Diplostomum,August,2017,4,13,20,5,0,0
13-R4-D50Diplo,Diplostomum,August,2018,4,13,50,10,5,0.002777777777778
13-R4-D70Diplo,Diplostomum,August,2018,4,13,70,14,11,0.006111111111111
13-R4-D100Diplo,Diplostomum,August,2017,4,13,100,21,17,0.009444444444444
13-R5-D2Diplo,Diplostomum,August,2018,5,13,2,0,1,0.000555555555556
13-R5-D4Diplo,Diplostomum,August,2018,5,13,4,1,1,0.000555555555556
13-R5-D6Diplo,Diplostomum,October,2018,5,13,6,1,2,0.001111111111111
13-R5-D10Diplo,Diplostomum,August,2018,5,13,10,1,5,0.002777777777778
13-R5-D20Diplo,Diplostomum,October,2018,5,13,20,5,0,0
13-R5-D50Diplo,Diplostomum,August,2018,5,13,50,10,14,0.007777777777778
13-R5-D70Diplo,Diplostomum,October,2018,5,13,70,14,17,0.009444444444444
13-R5-D100Diplo,Diplostomum,October,2018,5,13,100,21,0,0
13-R6-D2Diplo,Diplostomum,October,2018,6,13,2,0,0,0
13-R6-D4Diplo,Diplostomum,October,2018,6,13,4,1,0,0
13-R6-D6Diplo,Diplostomum,October,2018,6,13,6,1,2,0.001111111111111
13-R6-D10Diplo,Diplostomum,August,2018,6,13,10,1,4,0.002222222222222
13-R6-D20Diplo,Diplostomum,October,2018,6,13,20,5,5,0.002777777777778
13-R6-D50Diplo,Diplostomum,August,2018,6,13,50,10,16,0.008888888888889
13-R6-D70Diplo,Diplostomum,October,2018,6,13,70,14,0,0
13-R6-D100Diplo,Diplostomum,October,2018,6,13,100,21,17,0.009444444444444
6-R1-D2Tricho,Trichobilharzia,August,2018,1,6,2,1,1,0.000555555555556
6-R1-D4Tricho,Trichobilharzia,August,2018,1,6,4,0,1,0.000555555555556
6-R1-D6Tricho,Trichobilharzia,August,2018,1,6,6,2,1,0.000555555555556
6-R1-D10Tricho,Trichobilharzia,August,2018,1,6,10,2,7,0.003888888888889
6-R1-D20Tricho,Trichobilharzia,August,2018,1,6,20,8,2,0.001111111111111
6-R1-D50Tricho,Trichobilharzia,August,2018,1,6,50,15,9,0.005
6-R1-D70Tricho,Trichobilharzia,August,2018,1,6,70,18,27,0.015
6-R1-D100Tricho,Trichobilharzia,August,2018,1,6,100,22,8,0.004444444444444
6-R2-D2Tricho,Trichobilharzia,August,2018,2,6,2,1,0,0
6-R2-D4Tricho,Trichobilharzia,August,2018,2,6,4,0,2,0.001111111111111
6-R2-D6Tricho,Trichobilharzia,August,2018,2,6,6,2,2,0.001111111111111
6-R2-D10Tricho,Trichobilharzia,August,2018,2,6,10,2,5,0.002777777777778
6-R2-D20Tricho,Trichobilharzia,August,2018,2,6,20,8,2,0.001111111111111
6-R2-D50Tricho,Trichobilharzia,August,2018,2,6,50,15,27,0.015
6-R2-D70Tricho,Trichobilharzia,August,2018,2,6,70,18,14,0.007777777777778
6-R2-D100Tricho,Trichobilharzia,August,2018,2,6,100,22,34,0.018888888888889
13-R1-D2Tricho,Trichobilharzia,August,2018,1,13,2,1,0,0
13-R1-D4Tricho,Trichobilharzia,August,2018,1,13,4,0,2,0.001111111111111
13-R1-D6Tricho,Trichobilharzia,August,2018,1,13,6,2,0,0
13-R1-D10Tricho,Trichobilharzia,August,2018,1,13,10,2,0,0
13-R1-D20Tricho,Trichobilharzia,August,2018,1,13,20,8,10,0.005555555555556
13-R1-D50Tricho,Trichobilharzia,August,2018,1,13,50,15,15,0.008333333333333
13-R1-D70Tricho,Trichobilharzia,August,2018,1,13,70,18,0,0
13-R1-D100Tricho,Trichobilharzia,August,2018,1,13,100,22,13,0.007222222222222
13-R2-D2Tricho,Trichobilharzia,August,2018,2,13,2,1,0,0
13-R2-D4Tricho,Trichobilharzia,August,2018,2,13,4,0,0,0
13-R2-D6Tricho,Trichobilharzia,August,2018,2,13,6,2,2,0.001111111111111
13-R2-D10Tricho,Trichobilharzia,August,2018,2,13,10,2,2,0.001111111111111
13-R2-D20Tricho,Trichobilharzia,August,2018,2,13,20,8,4,0.002222222222222
13-R2-D50Tricho,Trichobilharzia,August,2018,2,13,50,15,8,0.004444444444444
13-R2-D70Tricho,Trichobilharzia,August,2018,2,13,70,18,21,0.011666666666667
13-R2-D100Tricho,Trichobilharzia,August,2018,2,13,100,22,30,0.016666666666667
