,"Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,10,8.45,0.23,8,5
"2",1,20,14.15,0.54,8,5
"3",1,30,18.75,0.88,8,5
"4",1,40,25.5,0.86,8,5
"5",1,60,27.95,1.54,8,5
"6",1,120,37.53,0.77,6,5
"7",2,20,19,0.36,5,5
"8",2,40,36.2,1.36,5,5
"9",2,60,46.52,1.1,5,5
"10",2,120,70.32,0.96,5,5
"11",4,40,39.92,0.08,5,5
"12",4,60,58.24,0.36,5,5
"13",4,80,73.6,0.48,5,5
"14",4,120,103.12,1.6,5,5
"15",4,240,161.96,3.32,5,5
"16",6,40,40.02,0,5,5
"17",6,60,59.58,0.12,5,5
"18",6,120,108.06,1.5,5,5
"19",6,180,155.46,4.14,5,5
"1",1,5,4.88,0.12,8,1
"2",1,6,6,0,7,1
"3",1,8,7.75,0.16,8,1
"4",1,10,9.63,0.26,8,1
"5",1,15,13.75,0.6,8,1
"6",1,20,15.63,0.87,8,1
"7",1,30,16.63,0.73,8,1
"8",1,60,19.38,0.6,8,1
"9",2,10,10,0,6,1
"10",2,12,12,0,8,1
"11",2,16,15.26,0.5,8,1
"12",2,20,18.5,0.38,8,1
"13",2,30,25.5,0.88,8,1
"14",2,60,36,0.54,7,1
"15",3,20,20.01,0,8,1
"16",3,30,20.97,0.51,8,1
"17",3,60,51.45,1.17,6,1
"18",4,20,20,0,6,1
"19",4,24,24,0,6,1
"20",4,30,30,0,6,1
"21",4,32,32,0,6,1
"22",4,40,39.8,0.2,5,1
"23",4,60,57.48,0.68,6,1
"24",5,30,30,0,6,1
"25",5,60,60,0,6,1
"26",6,30,30,0,6,1
"27",6,36,36,0,5,1
"28",6,48,48,0,6,1
"29",6,60,60,0,6,1
"30",6,90,90,0,5,1
"31",10,50,50,0,6,1
"32",10,60,60,0,5,1
"33",10,80,80,0,5,1
"34",10,100,100,0,5,1
"1",1,5,4.6,0.27,10,1
"2",1,6,5.67,0.27,9,1
"3",1,8,6.75,0.32,8,1
"4",1,10,7.86,0.38,14,1
"5",1,15,10.67,0.53,9,1
"6",1,20,12.11,0.35,10,1
"7",1,30,14.3,0.35,10,1
"8",1,60,13.38,0.63,8,1
"9",2,10,10,0,8,1
"10",2,12,12,0,8,1
"11",2,16,13.88,0.36,8,1
"12",2,20,17.38,0.38,8,1
"13",2,30,21.38,1.36,8,1
"14",2,60,30.86,0.92,8,1
"15",3,20,20.01,0,8,1
"16",3,30,28.05,0.66,8,1
"17",3,60,46.86,0.81,6,1
"18",4,10,38.36,0.48,8,1
"19",4,20,20,0,8,1
"20",4,24,24,0,7,1
"21",4,30,30,0,8,1
"22",4,32,32,0,8,1
"23",4,60,54.8,1.68,5,1
"24",5,30,30,0,8,1
"25",5,60,59.75,0.15,8,1
"26",6,30,30,0,8,1
"27",6,36,36,0,8,1
"28",6,48,48,0,8,1
"29",6,60,60,0,8,1
"30",6,90,80.76,0.84,5,1
"31",10,50,50,0,6,1
"32",10,60,60,0,6,1
"33",10,80,78.4,0.5,5,1
"34",10,100,98.2,1.4,5,1
"1",1,10,5.3,0.41,8,5
"2",1,20,12,0.55,8,5
"3",1,30,12,0.62,8,5
"4",1,40,13.6,0.35,8,5
"5",1,60,19.6,0.48,7,5
"6",1,120,18.6,0.83,7,5
"7",2,20,10.46,0.26,5,5
"8",2,40,13.72,1.24,5,5
"9",2,60,25.84,1.18,5,5
"10",2,120,35.16,1.7,5,5
"11",4,40,19.68,1.08,5,5
"12",4,60,20.96,1.24,5,5
"13",4,80,32.24,2.04,5,5
"14",4,120,46.88,1.48,5,5
"15",4,240,55.76,3.24,5,5
"16",6,40,34.8,1.08,5,5
"17",6,60,37.44,2.1,5,5
"18",6,120,54.48,1.98,5,5
"19",6,180,67.8,4.5,5,5
"1",1,4,3.8,0.13,10,1
"2",1,5,4.33,0.17,9,1
"3",1,6,4.8,0.29,10,1
"4",1,10,6.5,0.26,10,1
"5",1,20,7.91,0.29,11,1
"6",1,30,7.5,0.34,10,1
"7",1,60,9.67,0.29,9,1
"8",2,8,8,0,9,1
"9",2,10,9.78,0.14,9,1
"10",2,12,10.58,0.2,7,1
"11",2,20,14.9,0.28,10,1
"12",2,30,13.82,0.4,11,1
"13",2,60,18.22,0.88,9,1
"14",3,20,18.75,0.45,8,1
"15",3,30,18.75,0.75,11,1
"16",3,60,26.1,1.23,8,1
"17",4,16,15.76,0.16,7,1
"18",4,20,18.84,0.6,10,1
"19",4,24,22.88,0.64,6,1
"20",4,30,27.04,0.52,8,1
"21",4,40,29.44,0.6,8,1
"22",4,60,30.8,1.12,8,1
"23",5,20,20,0,8,1
"24",5,30,29.75,0.25,8,1
"25",5,60,36.75,0.75,8,1
"26",6,24,24,0,6,1
"27",6,30,29.04,0.48,9,1
"28",6,36,34.2,0.66,8,1
"29",6,60,49.56,0.6,8,1
"30",10,40,40,0,7,1
"31",10,50,49.8,0.2,6,1
"32",10,60,57.9,1.3,7,1
"33",10,100,82.2,2.1,5,1
"1",1,4,3.26,0.1,10,1
"2",1,5,3.67,0.24,9,1
"3",1,6,3.9,0.23,11,1
"4",1,10,4.54,0.15,10,1
"5",1,20,5.18,0.33,11,1
"6",1,30,5.9,0.31,10,1
"7",1,60,7.5,0.33,8,1
"8",2,8,8,0,10,1
"9",2,10,8.7,0.2,10,1
"10",2,12,9.78,0.14,9,1
"11",2,20,11.36,0.32,11,1
"12",2,30,11.26,0.78,11,1
"13",2,60,12.56,0.58,9,1
"14",3,20,13.65,0.48,10,1
"15",3,30,15.06,0.54,10,1
"16",3,60,19.41,0.63,9,1
"17",4,16,15.24,0.24,9,1
"18",4,20,17.96,0.4,9,1
"19",4,24,16,1.36,8,1
"20",4,30,19.6,1.04,8,1
"21",4,40,21.92,0.8,9,1
"22",4,60,22.56,1.16,8,1
"23",5,20,20,0,10,1
"24",5,30,24.9,0.6,10,1
"25",5,60,29.4,0.35,8,1
"26",6,24,23.22,0.36,10,1
"27",6,30,25.8,0.9,7,1
"28",6,36,27.48,0.9,8,1
"29",6,60,31.44,1.5,8,1
"30",10,40,40,0,7,1
"31",10,50,45.8,1.2,8,1
"32",10,60,50.6,1.7,8,1
"33",10,100,66.8,1.4,5,1
