date,ID,species,size_CL,sex,Mussels_IN,Mussels_OUT,Mussels_Consumed,origin
04/11/2015,M1,M,34,f,20,0,20,lab
08/03/2016,M1,M,37.5,f,20,12,8,lab
22/03/2016,M1,M,37,f,20,15,5,lab
12/10/2015,M4,M,32,f,20,2,18,lab
23/02/2016,M4,M,35,f,20,6,14,lab
05/07/2016,M7,M,29,f,20,3,17,lab
21/09/2016,M7,M,31.5,f,20,5,15,lab
15/09/2015,M10,M,32,f,20,7,13,lab
14/10/2015,M10,M,35,f,20,2,18,lab
02/03/2016,M10,M,37,f,20,9,11,lab
16/10/2015,M3,M,32,f,20,3,17,lab
15/03/2016,M3,M,38,f,20,3,17,lab
31/03/2016,M3,M,38,f,20,1,19,lab
07/10/2016,M8,M,30.5,f,20,9,11,lab
10/10/2016,M8,M,30.5,f,20,2,18,lab
22/02/2016,M5,M,36,f,20,4,16,lab
29/02/2016,M5,M,36,f,20,4,16,lab
10/03/2016,M5,M,36,f,20,3,17,lab
17/11/2015,M2,M,33,f,20,5,15,lab
07/03/2016,M2,M,36,f,20,4,16,lab
22/03/2016,M2,M,36,f,20,10,10,lab
10/10/2016,M6,M,36,f,20,5,15,lab
12/10/2016,M6,M,36,f,20,5,15,lab
08/04/2016,M11,M,31,f,20,7,13,lab
01/09/2016,M11,M,34.5,f,20,12,8,lab
21/09/2016,M12,M,30.5,f,20,8,12,lab
21/12/2016,M12,M,33.5,f,20,5,15,lab
01/03/2017,M12,M,33.5,f,20,10,10,lab
11/07/2016,M9,M,30,f,20,3,17,lab
29/02/2016,M1,M,37.5,f,30,13,17,lab
11/03/2016,M1,M,37,f,30,16,14,lab
21/03/2016,M11,M,28,f,30,19,11,lab
18/08/2016,M11,M,34.5,f,30,16,14,lab
24/08/2016,M11,M,34.5,f,30,14,16,lab
08/03/2016,M7,M,26.5,f,30,15,15,lab
31/03/2016,M7,M,26.5,f,30,19,11,lab
29/06/2016,M7,M,29,f,30,11,19,lab
12/07/2016,M7,M,29,f,30,19,11,lab
28/09/2015,M10,M,35,f,30,4,26,lab
07/10/2015,M10,M,35,f,30,0,30,lab
25/02/2016,M10,M,37,f,30,6,24,lab
09/03/2016,M10,M,37,f,30,0,30,lab
15/10/2015,M3,M,32,f,30,7,23,lab
25/02/2016,M3,M,36,f,30,14,16,lab
07/03/2016,M3,M,38,f,30,11,19,lab
08/03/2016,M3,M,38,f,30,9,21,lab
18/01/2017,M8,M,32.5,f,30,16,14,lab
08/09/2015,M5,M,28,f,30,8,22,lab
07/03/2016,M5,M,36,f,30,7,23,lab
15/03/2016,M5,M,36,f,30,2,28,lab
31/03/2016,M5,M,36,f,30,6,24,lab
05/11/2015,M2,M,33,f,30,18,12,lab
20/11/2015,M2,M,33,f,30,6,24,lab
23/03/2016,M2,M,36,f,30,12,18,lab
21/03/2016,M6,M,29,f,30,15,15,lab
02/11/2016,M6,M,36,f,30,18,12,lab
03/11/2016,M6,M,36,f,30,18,12,lab
04/11/2015,M4,M,32,f,30,15,15,lab
22/02/2016,M4,M,35,f,30,6,24,lab
15/10/2015,M1,M,34,f,40,24,16,lab
21/03/2016,M1,M,37,f,40,20,20,lab
14/04/2016,M1,M,37,f,40,25,15,lab
13/06/2016,M1,M,37,f,40,17,23,lab
09/10/2015,M4,M,32,f,40,11,29,lab
22/03/2016,M11,M,28,f,40,28,12,lab
06/05/2016,M11,M,31,f,40,27,13,lab
14/10/2016,M6,M,36,f,40,16,24,lab
20/10/2016,M6,M,36,f,40,23,17,lab
03/03/2016,M7,M,26.5,f,40,23,17,lab
23/06/2016,M7,M,29,f,40,20,20,lab
09/09/2016,M7,M,31.5,f,40,12,28,lab
29/09/2015,M10,M,35,f,40,10,30,lab
13/10/2015,M10,M,35,f,40,3,37,lab
07/03/2016,M10,M,37,f,40,11,29,lab
13/10/2015,M3,M,32,f,40,8,32,lab
22/02/2016,M3,M,36,f,40,23,17,lab
09/03/2016,M3,M,38,f,40,8,32,lab
13/07/2016,M3,M,40.5,f,40,20,20,lab
12/10/2016,M8,M,30.5,f,40,14,26,lab
02/02/2016,M5,M,32.5,f,40,15,25,lab
25/02/2016,M5,M,36,f,40,19,21,lab
08/03/2016,M5,M,36,f,40,12,28,lab
24/11/2015,M2,M,33,f,40,19,21,lab
31/03/2016,M2,M,36,f,40,16,24,lab
18/01/2017,M12,M,33.5,f,40,21,19,lab
03/11/2015,M1,M,34,f,50,37,13,lab
30/03/2016,M1,M,37,f,50,33,17,lab
01/07/2016,M1,M,40,f,50,29,21,lab
10/03/2016,M7,M,26.5,f,50,35,15,lab
09/06/2016,M7,M,26.5,f,50,32,18,lab
06/07/2016,M7,M,29,f,50,33,17,lab
20/09/2016,M7,M,31.5,f,50,16,34,lab
05/10/2015,M10,M,35,f,50,10,40,lab
01/03/2016,M10,M,37,f,50,20,30,lab
15/03/2016,M10,M,36,f,50,18,32,lab
24/02/2016,M10,M,37,f,50,31,19,lab
14/10/2015,M3,M,32,f,50,20,30,lab
23/02/2016,M3,M,36,f,50,27,23,lab
22/03/2016,M3,M,38,f,50,14,36,lab
14/10/2016,M8,M,30.5,f,50,12,38,lab
19/02/2016,M5,M,36,f,50,9,41,lab
21/03/2016,M5,M,36,f,50,9,41,lab
11/07/2016,M5,M,39.5,f,50,24,26,lab
19/10/2016,M5,M,43,f,50,19,31,lab
04/11/2015,M2,M,33,f,50,13,37,lab
08/03/2016,M2,M,36,f,50,18,32,lab
06/04/2016,M2,M,36,f,50,20,30,lab
28/04/2016,M11,M,31,f,50,37,13,lab
23/03/2016,M6,M,29,f,50,35,15,lab
15/10/2015,M4,M,32,f,50,17,33,lab
24/02/2016,M4,M,35,f,50,20,30,lab
09/09/2016,M12,M,30.5,f,50,26,24,lab
06/07/2016,M9,M,30,f,50,23,27,lab
25/07/2016,M9,M,30,f,50,27,23,lab
03/03/2016,M1,M,37.5,f,60,31,29,lab
23/03/2016,M1,M,37,f,60,29,31,lab
13/04/2016,M1,M,37,f,60,39,21,lab
08/10/2015,M4,M,32,f,60,32,28,lab
03/11/2015,M4,M,32,f,60,40,20,lab
01/03/2016,M4,M,35,f,60,18,42,lab
17/10/2016,M6,M,36,f,60,34,26,lab
27/10/2016,M6,M,36,f,60,42,18,lab
19/08/2016,M11,M,34.5,f,60,31,29,lab
21/12/2016,M11,M,38,f,60,30,30,lab
20/06/2016,M7,M,29,f,60,24,36,lab
30/06/2016,M7,M,29,f,60,38,22,lab
07/09/2016,M7,M,31.5,f,60,19,41,lab
09/03/2016,M7,M,26.5,f,60,46,14,lab
08/10/2015,M10,M,35,f,60,23,37,lab
23/02/2016,M10,M,37,f,60,20,40,lab
10/03/2016,M10,M,37,f,60,10,50,lab
08/10/2015,M3,M,32,f,60,36,24,lab
10/03/2016,M3,M,38,f,60,15,45,lab
11/07/2016,M3,M,40.5,f,60,33,27,lab
14/07/2016,M3,M,40.5,f,60,36,24,lab
19/07/2016,M3,M,40.5,f,60,32,28,lab
10/02/2016,M3,M,36,f,60,43,17,lab
06/04/2016,M3,M,38,f,60,41,19,lab
17/10/2016,M8,M,30.5,f,60,39,21,lab
25/10/2016,M8,M,30.5,f,60,27,33,lab
02/03/2016,M5,M,36,f,60,24,36,lab
11/03/2016,M5,M,36,f,60,22,38,lab
14/07/2016,M5,M,39.5,f,60,34,26,lab
17/10/2016,M5,M,43,f,60,16,44,lab
18/11/2015,M2,M,33,f,60,17,43,lab
21/03/2016,M2,M,36,f,60,29,31,lab
14/07/2016,M9,M,30,f,60,33,27,lab
16/10/2015,M1,M,34,f,80,54,26,lab
06/04/2016,M1,M,37,f,80,44,36,lab
11/07/2016,M1,M,40,f,80,34,46,lab
25/10/2016,M6,M,36,f,80,46,34,lab
07/10/2015,M4,M,32,f,80,50,30,lab
16/10/2015,M4,M,32,f,80,46,34,lab
13/04/2016,M11,M,31,f,80,61,19,lab
26/04/2016,M11,M,31,f,80,45,35,lab
11/03/2016,M7,M,26.5,f,80,60,20,lab
24/06/2016,M7,M,29,f,80,58,22,lab
01/07/2016,M7,M,29,f,80,48,32,lab
11/07/2016,M7,M,29,f,80,60,20,lab
05/09/2016,M7,M,31.5,f,80,42,38,lab
18/01/2017,M7,M,34,f,80,60,20,lab
01/10/2015,M10,M,35,f,80,47,33,lab
09/10/2015,M10,M,35,f,80,43,37,lab
15/10/2015,M10,M,35,f,80,28,52,lab
04/07/2016,M10,M,40,f,80,40,40,lab
09/10/2015,M3,M,32,f,80,40,40,lab
21/03/2016,M3,M,38,f,80,22,58,lab
04/04/2016,M3,M,38,f,80,47,33,lab
20/10/2016,M8,M,30.5,f,80,40,40,lab
10/02/2016,M5,M,32.5,f,80,52,28,lab
03/03/2016,M5,M,36,f,80,45,35,lab
22/03/2016,M5,M,36,f,80,40,40,lab
25/11/2015,M2,M,33,f,80,60,20,lab
04/04/2016,M2,M,36,f,80,34,46,lab
14/04/2016,M2,M,36,f,80,34,46,lab
12/09/2016,M12,M,30.5,f,80,47,33,lab
13/07/2016,M9,M,30,f,80,47,33,lab
28/07/2016,M9,M,30,f,80,39,41,lab
05/11/2015,M1,M,31,f,100,68,32,lab
31/03/2016,M1,M,37,f,100,56,44,lab
08/04/2016,M1,M,37,f,100,53,47,lab
10/08/2016,M1,M,40,f,100,60,40,lab
18/04/2016,M1,M,37,f,100,72,28,lab
22/06/2016,M7,M,29,f,100,58,42,lab
04/07/2016,M7,M,29,f,100,67,33,lab
12/09/2016,M7,M,31.5,f,100,40,60,lab
17/09/2015,M10,M,32,f,100,70,30,lab
02/10/2015,M10,M,35,f,100,63,37,lab
16/10/2015,M10,M,35,f,100,64,36,lab
12/10/2015,M10,M,35,f,100,39,61,lab
03/03/2016,M10,M,37,f,100,47,53,lab
11/03/2016,M10,M,36,f,100,34,66,lab
07/10/2015,M3,M,32,f,100,78,22,lab
11/03/2016,M3,M,38,f,100,41,59,lab
23/03/2016,M3,M,38,f,100,27,73,lab
30/03/2016,M3,M,38,f,100,38,62,lab
19/10/2016,M8,M,30.5,f,100,32,68,lab
05/02/2016,M5,M,32.5,f,100,50,50,lab
24/02/2016,M5,M,36,f,100,56,44,lab
01/03/2016,M5,M,36,f,100,26,74,lab
03/11/2015,M2,M,33,f,100,69,31,lab
11/07/2016,M2,M,40,f,100,77,23,lab
19/11/2015,M2,M,33,f,100,41,59,lab
05/04/2016,M2,M,36,f,100,62,38,lab
03/11/2015,M2,M,33,f,100,69,31,lab
10/08/2016,M2,M,40,f,100,62,38,lab
19/10/2016,M6,M,36,f,100,53,47,lab
28/10/2016,M6,M,36,f,100,49,51,lab
22/04/2016,M11,M,31,f,100,38,62,lab
22/08/2016,M11,M,34.5,f,100,68,32,lab
31/08/2016,M11,M,34.5,f,100,64,36,lab
05/11/2015,M4,M,32,f,100,79,21,lab
25/02/2016,M4,M,35,f,100,55,45,lab
02/03/2016,M4,M,35,f,100,46,54,lab
12/07/2016,M9,M,30,f,100,60,40,lab
25/09/2015,S11,S,35,f,20,7,13,field
30/09/2015,S11,S,35,f,20,12,8,field
11/03/2016,S11,S,37,f,20,2,18,field
31/03/2016,S12,S,34,f,20,2,18,field
28/04/2016,S12,S,36,f,20,9,11,field
11/03/2016,S14,S,31,f,20,7,13,field
23/09/2015,S13,S,36,f,20,1,19,field
16/10/2015,S13,S,36,f,20,1,19,field
20/04/2016,S13,S,39,f,20,4,16,field
18/09/2015,S11,S,35,f,30,10,20,field
15/03/2016,S11,S,37,f,30,2,28,field
30/03/2016,S11,S,37,f,30,2,28,field
08/09/2015,S12,S,29,f,30,9,21,field
23/03/2016,S12,S,34,f,30,12,18,field
15/03/2016,S14,S,31,f,30,10,20,field
30/03/2016,S14,S,31,f,30,15,15,field
25/05/2016,S14,S,34,f,30,9,21,field
16/09/2015,S13,S,36,f,30,3,27,field
30/09/2015,S13,S,36,f,30,2,28,field
06/04/2016,S13,S,39,f,30,7,23,field
16/09/2015,S11,S,35,f,40,2,38,field
21/03/2016,S11,S,37,f,40,10,30,field
20/05/2016,S11,S,37,f,40,21,19,field
10/09/2015,S12,S,29,f,40,21,19,field
21/03/2016,S12,S,34,f,40,10,30,field
20/05/2016,S12,S,36,f,40,10,30,field
04/04/2016,S14,S,31,f,40,23,17,field
18/09/2015,S13,S,36,f,40,3,37,field
15/10/2015,S13,S,36,f,40,9,31,field
05/04/2016,S13,S,39,f,40,11,29,field
23/09/2015,S11,S,35,f,50,23,27,field
22/03/2016,S11,S,37,f,50,23,27,field
13/06/2016,S11,S,41,f,50,26,24,field
04/04/2016,S12,S,34,f,50,25,25,field
13/04/2016,S14,S,31,f,50,25,25,field
10/09/2015,S13,S,36,f,50,6,44,field
29/09/2015,S13,S,36,f,50,14,36,field
07/10/2015,S13,S,36,f,50,8,42,field
25/04/2016,S13,S,39,f,50,16,34,field
10/09/2015,S11,S,35,f,60,11,49,field
09/03/2016,S11,S,37,f,60,7,53,field
31/03/2016,S11,S,37,f,60,9,51,field
23/09/2015,S12,S,29,f,60,36,24,field
22/03/2016,S12,S,34,f,60,37,23,field
30/03/2016,S12,S,34,f,60,12,48,field
06/04/2016,S14,S,31,f,60,44,16,field
19/05/2016,S14,S,34,f,60,36,24,field
08/09/2015,S13,S,36,f,60,12,48,field
02/10/2015,S13,S,36,f,60,20,40,field
13/04/2016,S13,S,39,f,60,15,45,field
14/09/2015,S11,S,35,f,80,45,35,field
29/09/2015,S11,S,35,f,80,52,28,field
06/04/2016,S11,S,37,f,80,25,55,field
08/06/2016,S11,S,41,f,80,55,25,field
16/09/2015,S12,S,29,f,80,60,20,field
05/04/2016,S12,S,34,f,80,29,51,field
08/04/2016,S12,S,34,f,80,40,40,field
31/05/2016,S12,S,36,f,80,57,23,field
13/06/2016,S12,S,36,f,80,41,39,field
05/04/2016,S14,S,31,f,80,51,29,field
25/09/2015,S13,S,36,f,80,26,54,field
08/10/2015,S13,S,36,f,80,35,45,field
18/04/2016,S13,S,39,f,80,18,62,field
08/09/2015,S11,S,35,f,100,46,54,field
10/03/2016,S11,S,37,f,100,63,37,field
05/04/2016,S11,S,37,f,100,46,54,field
14/09/2015,S12,S,29,f,100,61,39,field
06/04/2016,S12,S,34,f,100,64,36,field
13/04/2016,S12,S,34,f,100,64,36,field
31/03/2016,S14,S,31,f,100,65,35,field
14/09/2015,S13,S,36,f,100,43,57,field
13/10/2015,S13,S,36,f,100,64,36,field
14/04/2016,S13,S,39,f,100,51,49,field
20/05/2016,S13,S,39,f,100,40,60,field
17/09/2015,S1,S,35,m,20,2,18,field
09/10/2015,S1,S,35,m,20,3,17,field
25/05/2016,S1,S,42.5,m,20,2,18,field
25/04/2016,S9,S,35,m,20,1,19,field
30/05/2016,S9,S,35.5,m,20,0,20,field
20/06/2016,S9,S,35.5,m,20,0,20,field
18/09/2015,S2,S,34,m,20,5,15,field
